tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3
tt0181151	60000000	14145677	Garry Shandling	Annette Bening	John Goodman	nm0788009	nm0000906	nm0000422
tt0181536	43000000	80049764	Sean Connery	Rob Brown	F. Murray Abraham	nm0000125	nm0114532	nm0000719
tt0181689	102000000	358372926	Tom Cruise	Colin Farrell	Samantha Morton	nm0000129	nm0268199	nm0608090
tt0181739	70000000	14026418	Laurence Fishburne	Chris Rock	David Hyde Pierce	nm0000401	nm0001674	nm0001383
tt0181836	1000000	13276	Rob Lowe	Thomas Haden Church	Paget Brewster	nm0000507	nm0002006	nm0108295
tt0181852	200000000	433371112	Arnold Schwarzenegger	Nick Stahl	Kristanna Loken	nm0000216	nm0001763	nm0518085
tt0181865	48000000	207515725	Michael Douglas	Benicio Del Toro	Catherine Zeta-Jones	nm0000140	nm0001125	nm0001876
tt0181875	60000000	47383689	Billy Crudup	Patrick Fugit	Kate Hudson	nm0001082	nm0297578	nm0005028
tt0181984	7000000	28780255	Giovanni Ribisi	Vin Diesel	Nia Long	nm0000610	nm0004874	nm0000505
tt0182000	13500000	794481	Samuel L. Jackson	Colm Feore	Ann Magnuson	nm0000168	nm0272173	nm0005174
tt0182295	13000000	299792	Alessandro Nivola	Alicia Silverstone	Natascha McElhone	nm0005273	nm0000224	nm0001523
tt0182508	225000	1032075	Dan Futterman	Scott Denny	Paige Turco	nm0001246	nm0219673	nm0876958
tt0183505	51000000	149270999	Jim Carrey	Renée Zellweger	Anthony Anderson	nm0000120	nm0000250	nm0026364
tt0183523	100000000	110983407	Tim Robbins	Gary Sinise	Don Cheadle	nm0000209	nm0000641	nm0000332
tt0183649	13000000	97837138	Colin Farrell	Kiefer Sutherland	Forest Whitaker	nm0268199	nm0000662	nm0001845
tt0183659	6000000	10994533	Ed Harris	Marcia Gay Harden	Robert Knott	nm0000438	nm0001315	nm0461446
tt0183790	65000000	117487473	Heath Ledger	Mark Addy	Rufus Sewell	nm0005132	nm0004692	nm0001722
tt0184791	5000000	19260537	Mekhi Phifer	Julia Stiles	Martin Sheen	nm0001616	nm0005466	nm0000640
tt0184858	42000000	32168970	Ben Affleck	Gary Sinise	Charlize Theron	nm0000255	nm0000641	nm0000234
tt0184894	55000000	99274467	Jackie Chan	Owen Wilson	Lucy Liu	nm0000329	nm0005562	nm0005154
tt0184907	13000000	62464731	Chevy Chase	Mark Webber	Schuyler Fisk	nm0000331	nm0916406	nm0004922
tt0185014	55000000	33426588	Michael Douglas	Tobey Maguire	Frances McDormand	nm0000140	nm0001497	nm0000531
tt0185183	73000000	29725663	John Travolta	Forest Whitaker	Barry Pepper	nm0000237	nm0001845	nm0001608
tt0185431	85000000	58292295	Adam Sandler	Patricia Arquette	Harvey Keitel	nm0001191	nm0000099	nm0000172
tt0186045	37000000	15910104	Danny DeVito	Bette Midler	Neve Campbell	nm0000362	nm0000541	nm0000117
tt0186151	31000000	68106245	Dennis Quaid	Jim Caviezel	Shawn Doyle	nm0000598	nm0001029	nm0236495
tt0186549	2000000	19823	Lynn Redgrave	Jamey Sheridan	Harry Connick Jr.	nm0001655	nm0792177	nm0001065
tt0186566	65000000	128884132	Clint Eastwood	Tommy Lee Jones	Donald Sutherland	nm0000142	nm0000169	nm0000661
tt0186589	27000000	16923761	Marla Sokoloff	Marley Shelton	Melissa George	nm0005448	nm0005420	nm0313534
tt0186894	35000000	53425292	Ben Affleck	Gwyneth Paltrow	Natasha Henstridge	nm0000255	nm0000569	nm0000449
tt0186895	3584750	3557100	Marc Messier	Rémy Girard	Patrick Huard	nm0582126	nm0320721	nm0399088
tt0186975	11000000	24419914	Freddie Prinze Jr.	Julia Stiles	Selma Blair	nm0005327	nm0005466	nm0004757
tt0187078	90000000	237202299	Nicolas Cage	Angelina Jolie	Giovanni Ribisi	nm0000115	nm0001401	nm0000610
tt0187393	110000000	215294342	Mel Gibson	Heath Ledger	Joely Richardson	nm0000154	nm0005132	nm0000613
tt0187512	10000000	1789525	Piper Perabo	Jane McGregor	Michael McKean	nm0005305	nm0569990	nm0571106
